word_id,word,sense_id,zh_tw,topic,difficulty_level,example_1_id,example_1_en,example_1_zh_tw,example_1_target,example_1_review_status,example_2_id,example_2_en,example_2_zh_tw,example_2_target,example_2_review_status,example_3_en_draft,example_3_zh_tw_draft,example_3_target,semantic_group,part_of_speech,review_decision,review_notes
passport-apple,apple,passport-apple,蘋果,Food,5,passport-apple-ex1,I have a red apple in my schoolbag.,我的書包裡有一個紅蘋果。,apple,legacy_review_required,passport-apple-ex2,She cut the sweet apple into small pieces.,她將那顆甜蘋果切成小塊。,apple,legacy_review_required,,,apple,,,,
passport-banana,banana,passport-banana,香蕉,Food,8,passport-banana-ex1,The yellow banana is very sweet and delicious.,黃色的香蕉非常甜而且美味。,banana,legacy_review_required,passport-banana-ex2,I like to eat a banana after running.,我喜歡在跑步後吃一根香蕉。,banana,legacy_review_required,,,banana,,,,
passport-rabbit,rabbit,passport-rabbit,兔子,Animals,7,passport-rabbit-ex1,Look at that cute rabbit hopping in the grass.,看那隻可愛的兔子在草地上蹦蹦跳跳。,rabbit,legacy_review_required,passport-rabbit-ex2,The little rabbit likes eating fresh carrots.,小兔子喜歡吃新鮮的胡蘿蔔。,rabbit,legacy_review_required,,,rabbit,,,,
passport-tiger,tiger,passport-tiger,老虎,Animals,6,passport-tiger-ex1,The tiger is a very strong animal in the zoo.,老虎是動物園裡非常強壯的動物。,tiger,legacy_review_required,passport-tiger-ex2,A tiger can run very fast in the forest.,老虎在森林裡能跑得非常快。,tiger,legacy_review_required,,,tiger,,,,
passport-father,father,passport-father,爸爸,Family,10,passport-father-ex1,My father goes to work by bus every morning.,我爸爸每天早上坐公車去上班。,father,legacy_review_required,passport-father-ex2,My father reads a storybook to me every night.,我爸爸每天晚上都讀故事書給我聽。,father,legacy_review_required,,,father,,,,
passport-mother,mother,passport-mother,媽媽,Family,10,passport-mother-ex1,My mother cooks delicious food for the family.,我媽媽為全家人做美味的食物。,mother,legacy_review_required,passport-mother-ex2,My mother helps me with my homework after school.,放學後我媽媽會輔導我的功課。,mother,legacy_review_required,,,mother,,,,
elementary-sister,sister,elementary-sister,姊姊/妹妹,Family,10,elementary-sister-ex1,My sister likes to draw pictures in her notebook.,我妹妹喜歡在筆記本上畫畫。,sister,legacy_review_required,elementary-sister-ex2,My sister teaches me how to ride a bicycle.,我姊姊教我怎麼騎腳踏車。,sister,legacy_review_required,,,sister,,,,
elementary-brother,brother,elementary-brother,哥哥/弟弟,Family,10,elementary-brother-ex1,My big brother teaches me how to play soccer.,我哥哥教我怎麼踢足球。,brother,legacy_review_required,elementary-brother-ex2,My brother always shares his toys with me.,我弟弟/哥哥總是跟我分享他的玩具。,brother,legacy_review_required,,,brother,,,,
elementary-sunny,sunny,elementary-sunny,晴朗的,Weather,10,elementary-sunny-ex1,We can go for a picnic on a sunny day.,我們可以在晴天去野餐。,sunny,legacy_review_required,elementary-sunny-ex2,We go to play on the swings on a sunny day.,我們在晴天時去玩鞦韆。,sunny,legacy_review_required,,,sunny,,,,
elementary-rainy,rainy,elementary-rainy,下雨的,Weather,10,elementary-rainy-ex1,I stay at home and read books on rainy days.,下雨天我待在家裡看書。,rainy,legacy_review_required,elementary-rainy-ex2,Don't forget to wear a raincoat on rainy days.,下雨天別忘了穿雨衣。,rainy,legacy_review_required,,,rainy,,,,
elementary-teacher,teacher,elementary-teacher,老師/教師,School,12,elementary-teacher-ex1,Our English teacher is very kind and patient.,我們的英文老師非常親切且有檢心。,teacher,legacy_review_required,elementary-teacher-ex2,A teacher teaches students new things every day.,老師每天教學生新的事物。,teacher,legacy_review_required,,,teacher,,,,
elementary-student,student,elementary-student,學生,School,12,elementary-student-ex1,Every student in the class likes the new storybook.,班上的每個學生都喜歡這本新的故事書。,student,legacy_review_required,elementary-student-ex2,Every student should try their best during class.,每個學生在上課時都應該盡力而為。,student,legacy_review_required,,,student,,,,
passport-bathroom,bathroom,passport-bathroom,浴室,House,12,passport-bathroom-ex1,You should wash your hands in the bathroom.,你應該在浴室洗手。,bathroom,legacy_review_required,passport-bathroom-ex2,Please wash your face and hands in the bathroom.,請在浴室裡洗臉和洗手。,bathroom,legacy_review_required,,,bathroom,,,,
elementary-kitchen,kitchen,elementary-kitchen,廚房,House,11,elementary-kitchen-ex1,Mom is baking a delicious chocolate cake in the kitchen.,媽媽正在廚房烤美味的巧克力蛋糕。,kitchen,legacy_review_required,elementary-kitchen-ex2,Dad is cleaning the kitchen table after dinner.,晚餐後爸爸正在清理廚房的桌子。,kitchen,legacy_review_required,,,kitchen,,,,
elementary-doctor,doctor,elementary-doctor,醫生,Occupations,11,elementary-doctor-ex1,The doctor tells me to drink more warm water.,醫生叫我多喝溫開水。,doctor,legacy_review_required,elementary-doctor-ex2,A doctor helps people feel better when they are sick.,當人們生病時，醫生會幫助他們好起來。,doctor,legacy_review_required,,,doctor,,,,
elementary-nurse,nurse,elementary-nurse,護理師,Occupations,11,elementary-nurse-ex1,The kind nurse helps take care of sick children.,這位親切的護理師幫忙照顧生病的孩子。,nurse,legacy_review_required,elementary-nurse-ex2,The school nurse cleaned the scratch on my knee.,學校護理師幫我清理了膝蓋上的擦傷。,nurse,legacy_review_required,,,nurse,,,,
passport-homework,homework,passport-homework,功課/回家作業,School,13,passport-homework-ex1,Remember to finish your English homework before dinner.,記得在晚餐前完成你的英文作業。,homework,legacy_review_required,passport-homework-ex2,I finished my homework and went to play with my puppy.,我做完功課，然後去和小狗玩。,homework,legacy_review_required,,,homework,,,,
elementary-supermarket,supermarket,elementary-supermarket,超級市場,Place,13,elementary-supermarket-ex1,We bought some fresh juice at the supermarket.,我們在超市買了一些新鮮果汁。,supermarket,legacy_review_required,elementary-supermarket-ex2,My mother bought some fresh apples at the supermarket.,我媽媽在超級市場買了一些新鮮的蘋果。,supermarket,legacy_review_required,,,supermarket,,,,
junior-beautiful,beautiful,junior-beautiful,美麗的/漂亮的,Adjectives,14,junior-beautiful-ex1,The sunset over the beach is really beautiful.,海灘上的落日真的很美麗。,beautiful,legacy_review_required,junior-beautiful-ex2,The flowers in our school garden are very beautiful.,我們學校花園裡的花非常美麗。,beautiful,legacy_review_required,,,beautiful,,,,
junior-weekend,weekend,junior-weekend,週末,Time,14,junior-weekend-ex1,What are you going to do this weekend?,你這週末打算做什麼？,weekend,legacy_review_required,junior-weekend-ex2,We visited our grandparents on the weekend.,我們在週末去拜訪了祖父母。,weekend,legacy_review_required,,,weekend,,,,
passport-book,book,passport-book,書/書籍,School,2,passport-book-ex1,I like reading this interesting book about animals.,我喜歡讀這本關於動物的有趣書籍。,book,legacy_review_required,passport-book-ex2,I borrowed an interesting story book from the library.,我從圖書館借了一本有趣的故事書。,book,legacy_review_required,,,book,,,,
passport-pencil,pencil,passport-pencil,鉛筆,School,7,passport-pencil-ex1,Can I borrow a pencil to write my name?,我可以借一支鉛筆來寫我的名字嗎？,pencil,legacy_review_required,passport-pencil-ex2,May I borrow your pencil to draw a star?,我可以借你的鉛筆畫一顆星星嗎？,pencil,legacy_review_required,,,pencil,,,,
elementary-desk,desk,elementary-desk,書桌,School,2,elementary-desk-ex1,Please put your books back onto your desk.,請把你的書放回你的課桌上。,desk,legacy_review_required,elementary-desk-ex2,He keeps his books organized on his study desk.,他在書桌上把書整理得很整齊。,desk,legacy_review_required,,,desk,,,,
elementary-chair,chair,elementary-chair,椅子,School,4,elementary-chair-ex1,Tim sits on the wooden chair next to the window.,提姆坐在靠窗的木椅上。,chair,legacy_review_required,elementary-chair-ex2,The cat sat on the chair and slept all afternoon.,貓咪坐在椅子上睡了整個下午。,chair,legacy_review_required,,,chair,,,,
passport-dog,dog,passport-dog,狗,Animals,1,passport-dog-ex1,The friendly dog is wagging its tail at us.,那隻友好的狗正在向我們搖尾巴。,dog,legacy_review_required,passport-dog-ex2,My friendly dog runs to me when I come home.,當我回到家時，我那友善的狗會跑向我。,dog,legacy_review_required,,,dog,,,,
passport-cat,cat,passport-cat,貓,Animals,1,passport-cat-ex1,A small black cat is sleeping under the table.,一隻黑色的小貓正在桌子底下睡覺。,cat,legacy_review_required,passport-cat-ex2,The sleeping cat looks very warm and cute.,那隻正在睡覺的貓咪看起來非常溫暖且可愛。,cat,legacy_review_required,,,cat,,,,
elementary-bird,bird,elementary-bird,鳥,Animals,2,elementary-bird-ex1,A beautiful blue bird is singing in the tree.,一隻美麗的藍鳥正在樹上唱歌。,bird,legacy_review_required,elementary-bird-ex2,We can hear a little bird singing outside the window.,我們可以聽到窗外有一隻小鳥在唱歌。,bird,legacy_review_required,,,bird,,,,
elementary-fish,fish,elementary-fish,魚,Animals,2,elementary-fish-ex1,There are many colorful fish swimming in the pond.,池塘裡有許多色彩繽紛的魚在游泳。,fish,legacy_review_required,elementary-fish-ex2,My grandpa has three gold fish in a bowl.,我爺爺在魚缸裡養了三隻金魚。,fish,legacy_review_required,,,fish,,,,
passport-milk,milk,passport-milk,牛奶,Food,3,passport-milk-ex1,Drinking a glass of hot milk before bed helps you sleep.,睡前喝一杯熱牛奶有助於睡眠。,milk,legacy_review_required,passport-milk-ex2,Drinking milk every day helps our bones grow strong.,每天喝牛奶可以幫助我們的骨骼長得強壯。,milk,legacy_review_required,,,milk,,,,
