單字(Word),中文(Chinese),主題(Topic),音標(Phonetic),難度年級(Grade),拼字音節(Chunks),例句(Sentence),例句中譯(Translation)
apple,蘋果,Food,,3,ap/ple,I have a red apple in my schoolbag.,我的書包裡有一個紅蘋果。
banana,香蕉,Food,,3,ba/na/na,The yellow banana is very sweet and delicious.,黃色的香蕉非常甜而且美味。
rabbit,兔子,Animals,,3,rab/bit,Look at that cute rabbit hopping in the grass.,看那隻可愛的兔子在草地上蹦蹦跳跳。
tiger,老虎,Animals,,3,ti/ger,The tiger is a very strong animal in the zoo.,老虎是動物園裡非常強壯的動物。
father,爸爸,Family,,4,fa/ther,My father goes to work by bus every morning.,我爸爸每天早上坐公車去上班。
mother,媽媽,Family,,4,mo/ther,My mother cooks delicious food for the family.,我媽媽為全家人做美味的食物。
sister,姊妹,Family,,4,sis/ter,My sister likes to draw pictures in her notebook.,我妹妹喜歡在筆記本上畫畫。
brother,兄弟,Family,,4,bro/ther,My big brother teaches me how to play soccer.,我哥哥教我怎麼踢足球。
sunny,晴朗的,Weather,,4,sun/ny,We can go for a picnic on a sunny day.,我們可以在晴天去野餐。
rainy,下雨的,Weather,,4,rain/y,I stay at home and read books on rainy days.,下雨天我待在家裡看書。
teacher,老師,School,,5,tea/cher,Our English teacher is very kind and patient.,我們的英文老師非常親切且有檢心。
student,學生,School,,5,stu/dent,Every student in the class likes the new storybook.,班上的每個學生都喜歡這本新的故事書。
bathroom,浴室,House,,5,bath/room,You should wash your hands in the bathroom.,你應該在浴室洗手。
kitchen,廚房,House,,5,kitch/en,Mom is baking a delicious chocolate cake in the kitchen.,媽媽正在廚房烤美味的巧克力蛋糕。
doctor,醫生,Occupations,,5,doc/tor,The doctor tells me to drink more warm water.,醫生叫我多喝溫開水。
nurse,護理師,Occupations,,5,nurse,The kind nurse helps take care of sick children.,這位親切的護理師幫忙照顧生病的孩子。
homework,回家作業,School,,6,home/work,Remember to finish your English homework before dinner.,記得在晚餐前完成你的英文作業。
supermarket,超級市場,Place,,6,su/per/mar/ket,We bought some fresh juice at the supermarket.,我們在超市買了一些新鮮果汁。
beautiful,漂亮的,Adjectives,,7,beau/ti/ful,The sunset over the beach is really beautiful.,海灘上的落日真的很美麗。
weekend,週末,Time,,7,week/end,What are you going to do this weekend?,你這週末打算做什麼？
book,書,School,,3,book,I like reading this interesting book about animals.,我喜歡讀這本關於動物的有趣書籍。
