單字(Word),中文(Chinese),主題(Topic),音標(Phonetic),難度年級(Grade),拼字音節(Chunks),例句1(Sentence1),例句1中譯(Translation1),例句2(Sentence2),例句2中譯(Translation2)
apple,蘋果,Food,/ˈæp.l̩/,3,ap/ple,I have a red apple in my schoolbag.,我的書包裡有一個紅蘋果。,She cut the sweet apple into small pieces.,她將那顆甜蘋果切成小塊。
banana,香蕉,Food,/bəˈnæn.ə/,3,ba/na/na,The yellow banana is very sweet and delicious.,黃色的香蕉非常甜而且美味。,I like to eat a banana after running.,我喜歡在跑步後吃一根香蕉。
rabbit,兔子,Animals,/ˈræb.ɪt/,3,rab/bit,Look at that cute rabbit hopping in the grass.,看那隻可愛的兔子在草地上蹦蹦跳跳。,The little rabbit likes eating fresh carrots.,小兔子喜歡吃新鮮的胡蘿蔔。
tiger,老虎,Animals,/ˈtaɪ.ɡɚ/,3,ti/ger,The tiger is a very strong animal in the zoo.,老虎是動物園裡非常強壯的動物。,A tiger can run very fast in the forest.,老虎在森林裡能跑得非常快。
father,爸爸,Family,/ˈfɑː.ðɚ/,4,fa/ther,My father goes to work by bus every morning.,我爸爸每天早上坐公車去上班。,My father reads a storybook to me every night.,我爸爸每天晚上都讀故事書給我聽。
mother,媽媽,Family,/ˈmʌð.ɚ/,4,mo/ther,My mother cooks delicious food for the family.,我媽媽為全家人做美味的食物。,My mother helps me with my homework after school.,放學後我媽媽會輔導我的功課。
sister,姊姊/妹妹,Family,/ˈsɪs.tɚ/,4,sis/ter,My sister likes to draw pictures in her notebook.,我妹妹喜歡在筆記本上畫畫。,My sister teaches me how to ride a bicycle.,我姊姊教我怎麼騎腳踏車。
brother,哥哥/弟弟,Family,/ˈbrʌð.ɚ/,4,bro/ther,My big brother teaches me how to play soccer.,我哥哥教我怎麼踢足球。,My brother always shares his toys with me.,我弟弟/哥哥總是跟我分享他的玩具。
sunny,晴朗的,Weather,/ˈsʌn.i/,4,sun/ny,We can go for a picnic on a sunny day.,我們可以在晴天去野餐。,We go to play on the swings on a sunny day.,我們在晴天時去玩鞦韆。
rainy,下雨的,Weather,/ˈreɪn.i/,4,rain/y,I stay at home and read books on rainy days.,下雨天我待在家裡看書。,Don't forget to wear a raincoat on rainy days.,下雨天別忘了穿雨衣。
teacher,老師/教師,School,/ˈtiː.tʃɚ/,5,tea/cher,Our English teacher is very kind and patient.,我們的英文老師非常親切且有檢心。,A teacher teaches students new things every day.,老師每天教學生新的事物。
student,學生,School,/ˈstjuː.dənt/,5,stu/dent,Every student in the class likes the new storybook.,班上的每個學生都喜歡這本新的故事書。,Every student should try their best during class.,每個學生在上課時都應該盡力而為。
bathroom,浴室,House,/ˈbæθ.ruːm/,5,bath/room,You should wash your hands in the bathroom.,你應該在浴室洗手。,Please wash your face and hands in the bathroom.,請在浴室裡洗臉和洗手。
kitchen,廚房,House,/ˈkɪtʃ.ən/,5,kitch/en,Mom is baking a delicious chocolate cake in the kitchen.,媽媽正在廚房烤美味的巧克力蛋糕。,Dad is cleaning the kitchen table after dinner.,晚餐後爸爸正在清理廚房的桌子。
doctor,醫生,Occupations,/ˈdɑːk.tɚ/,5,doc/tor,The doctor tells me to drink more warm water.,醫生叫我多喝溫開水。,A doctor helps people feel better when they are sick.,當人們生病時，醫生會幫助他們好起來。
nurse,護理師,Occupations,/nɝːs/,5,nurse,The kind nurse helps take care of sick children.,這位親切的護理師幫忙照顧生病的孩子。,The school nurse cleaned the scratch on my knee.,學校護理師幫我清理了膝蓋上的擦傷。
homework,功課/回家作業,School,/ˈhoʊm.wɝːk/,6,home/work,Remember to finish your English homework before dinner.,記得在晚餐前完成你的英文作業。,I finished my homework and went to play with my puppy.,我做完功課，然後去和小狗玩。
supermarket,超級市場,Place,/ˈsuː.pɚˌmɑːr.kɪt/,6,su/per/mar/ket,We bought some fresh juice at the supermarket.,我們在超市買了一些新鮮果汁。,My mother bought some fresh apples at the supermarket.,我媽媽在超級市場買了一些新鮮的蘋果。
beautiful,美麗的/漂亮的,Adjectives,/ˈbjuː.t̬ə.fəl/,7,beau/ti/ful,The sunset over the beach is really beautiful.,海灘上的落日真的很美麗。,The flowers in our school garden are very beautiful.,我們學校花園裡的花非常美麗。
weekend,週末,Time,/ˈwiːk.end/,7,week/end,What are you going to do this weekend?,你這週末打算做什麼？,We visited our grandparents on the weekend.,我們在週末去拜訪了祖父母。
book,書/書籍,School,/bʊk/,3,book,I like reading this interesting book about animals.,我喜歡讀這本關於動物的有趣書籍。,I borrowed an interesting story book from the library.,我從圖書館借了一本有趣的故事書。
pencil,鉛筆,School,/ˈpen.səl/,3,pen/cil,Can I borrow a pencil to write my name?,我可以借一支鉛筆來寫我的名字嗎？,May I borrow your pencil to draw a star?,我可以借你的鉛筆畫一顆星星嗎？
desk,書桌,School,/desk/,3,desk,Please put your books back onto your desk.,請把你的書放回你的課桌上。,He keeps his books organized on his study desk.,他在書桌上把書整理得很整齊。
chair,椅子,School,/tʃer/,3,chair,Tim sits on the wooden chair next to the window.,提姆坐在靠窗的木椅上。,The cat sat on the chair and slept all afternoon.,貓咪坐在椅子上睡了整個下午。
dog,狗,Animals,/dɑːɡ/,3,dog,The friendly dog is wagging its tail at us.,那隻友好的狗正在向我們搖尾巴。,My friendly dog runs to me when I come home.,當我回到家時，我那友善的狗會跑向我。
cat,貓,Animals,/kæt/,3,cat,A small black cat is sleeping under the table.,一隻黑色的小貓正在桌子底下睡覺。,The sleeping cat looks very warm and cute.,那隻正在睡覺的貓咪看起來非常溫暖且可愛。
bird,鳥,Animals,/bɝːd/,3,bird,A beautiful blue bird is singing in the tree.,一隻美麗的藍鳥正在樹上唱歌。,We can hear a little bird singing outside the window.,我們可以聽到窗外有一隻小鳥在唱歌。
fish,魚,Animals,/fɪʃ/,3,fish,There are many colorful fish swimming in the pond.,池塘裡有許多色彩繽紛的魚在游泳。,My grandpa has three gold fish in a bowl.,我爺爺在魚缸裡養了三隻金魚。
milk,牛奶,Food,/mɪlk/,3,milk,Drinking a glass of hot milk before bed helps you sleep.,睡前喝一杯熱牛奶有助於睡眠。,Drinking milk every day helps our bones grow strong.,每天喝牛奶可以幫助我們的骨骼長得強壯。
water,水,Food,/ˈwɑː.tɚ/,3,wa/ter,"Please give me a glass of cold water, please.",請給我一杯冰水，謝謝。,You should drink a cup of warm water every morning.,你應該每天早上喝一杯溫開水。
rice,米飯/飯,Food,/raɪs/,4,rice,We usually eat rice and vegetables for dinner.,我們晚餐通常吃米飯和蔬菜。,We eat rice and fish for lunch at school.,我們在學校午餐吃米飯和魚。
noodles,麵條/麵,Food,/ˈnuː.dļz/,4,noo/dles,Grandpa likes to eat hot beef noodles for lunch.,爺爺中午喜歡吃熱牛肉麵。,My sister likes to eat delicious noodles with soup.,我妹妹喜歡吃美味的湯麵。
red,紅色/紅色的,Colors,/red/,3,red,She wore a pretty red dress to the party.,她穿著一件漂亮的紅洋裝去參加派對。,The red crayon in my box is used to draw the sun.,我盒子裡的紅蠟筆是用來畫太陽的。
blue,藍色/藍色的,Colors,/bluː/,3,blue,The sky is very clear and blue today.,今天的晴空非常清澈且蔚藍。,I draw a blue bird flying high in the sky.,我畫了一隻在空中高飛的藍鳥。
green,綠色/綠色的,Colors,/ɡriːn/,3,green,The frogs are sitting on a big green leaf.,青蛙正坐在一個綠色的大葉子上。,The tree leaves are green and fresh in spring.,春天的樹葉又綠又新鮮。
yellow,黃色/黃色的,Colors,/ˈjel.oʊ/,3,yel/low,The yellow school bus stops in front of my house.,黃色的校車停在我家前面。,My brother's favorite color is bright yellow.,我弟弟最喜歡的顏色是明亮的黃色。
one,一/一個,Numbers,/wʌn/,3,one,I have only one apple left in my bag.,我的包包裡只剩下一個蘋果。,I got one correct answer and felt very happy.,我得到一個正確答案，感覺非常高興。
two,二/兩個,Numbers,/tuː/,3,two,There are two birds flying in the sky.,天上有兩隻鳥在飛。,Two students walked into the library together.,兩個學生一起走進了圖書館。
three,三/三個,Numbers,/θriː/,3,three,He has three storybooks in his desk drawer.,他的書桌抽屜裡有三本故事書。,Grandfather bought three sweet red apples for us.,爺爺為我們買了三個甜紅蘋果。
four,四/四個,Numbers,/fɔːr/,3,four,A year is divided into four different seasons.,一年被分為四個不同的季節。,Four birds are sitting on the school roof.,四隻鳥停在學校屋頂上。
head,頭,Body,/hed/,4,head,You should wear a helmet to protect your head.,你應該戴安全帽來保護你的頭部。,Please wear a hat to protect your head from the hot sun.,請戴上帽子以保護你的頭部不受烈日曬傷。
hand,手,Body,/hænd/,4,hand,Please raise your hand if you know the answer.,如果你知道答案，請舉手。,We must wash our hands before having lunch.,我們午餐前必須洗手。
eye,眼睛,Body,/aɪ/,4,eye,Keep your eyes open and look at the screen.,張開眼睛看著螢幕。,Please close your eyes and listen to the quiet music.,請閉上眼睛，聆聽這平靜的音樂。
foot,腳(單數),Body,/fʊt/,4,foot,He hurt his left foot while playing soccer.,他在踢足球時弄傷了左腳。,"My foot feels cold, so I want to wear socks.",我的腳感覺冷，所以我想穿襪子。
run,跑/奔跑,Actions,/rʌn/,4,run,Do not run in the hallway; it is dangerous.,不要在走廊上奔跑，那很危險。,Do not run too fast in the classroom.,不要在教室裡跑得太快。
jump,跳/跳躍,Actions,/dʒʌmp/,4,jump,The energetic children love to jump on the trampoline.,精力充沛的孩子們喜歡在彈簧床上跳躍。,The frog can jump very high into the air.,青蛙可以跳得非常高。
read,閱讀/讀,Actions,/riːd/,4,read,We read English stories in class every Tuesday.,我們每個星期二在課堂上讀英文故事。,Reading books every day makes us smarter.,每天讀書會讓我們更聰明。
write,寫/書寫,Actions,/raɪt/,4,write,You need to write your name on this paper.,你需要這張紙上寫下你的名字。,Please write down your name on the notebook.,請在筆記本上寫下你的名字。
morning,早上/上午,Time,/ˈmɔːr.nɪŋ/,5,morn/ing,We say good morning to our teachers at school.,我們在學校跟老師們說早安。,I enjoy the fresh air during my morning run.,我享受晨跑時的新鮮空氣。
afternoon,下午,Time,/ˌæf.tɚˈnuːn/,5,af/ter/noon,Let us play basketball in the playground this afternoon.,我們今天下午去操場打籃球吧。,We have an exciting art lesson this afternoon.,我們今天下午有一堂精彩的美勞課。
today,今天,Time,/təˈdeɪ/,5,to/day,What is the weather like in Taipei today?,今天台北的天氣怎麼樣？,Today is a great day to learn new English words.,今天是學習新英文單字的好日子。
happy,快樂的/高興的,Adjectives,/ˈhæp.i/,7,hap/py,We are very happy to hear the good news.,我們聽到這個好消息感到非常高興。,My parents are happy when I share my stories with them.,當我和父母分享我的故事時，他們會很高興。
difficult,困難的/難的,Adjectives,/ˈdɪf.ə.kəlt/,7,dif/fi/cult,This math question is too difficult for me to solve.,這道數學題對我來說太難解了。,"Even if this game is difficult, I will keep trying.",即使這個遊戲很難，我依然會繼續嘗試。
bee,蜜蜂,Animals,/biː/,3,bee,A busy bee is flying around the colorful flowers.,一隻忙碌的蜜蜂正在繽紛的花朵旁飛舞。,The little bee works hard to make honey.,小蜜蜂辛勤地工作製造蜂蜜。
cow,母牛/乳牛,Animals,/kaʊ/,3,cow,The cow eats green grass on the beautiful farm.,母牛在美麗的農場上吃綠草。,The cow on the farm gives us fresh milk.,農場上的乳牛為我們提供新鮮牛奶。
pet,寵物,Animals,/pet/,3,pet,A rabbit can be a wonderful pet for children.,兔子可以是孩子們極佳的寵物。,My pet cat likes to sleep on my lap.,我的寵物貓喜歡在我的大腿上睡覺。
pig,豬,Animals,/pɪɡ/,3,pig,The pink pig is playing happily in the mud.,這隻粉紅色的豬正在泥巴裡玩得很高興。,The cute pig lives with other animals on the farm.,那隻可愛的豬和農場上的其他動物生活在一起。
bear,熊,Animals,/ber/,3,bear,We saw a big brown bear sleeping in the cave.,我們看到一隻大棕熊在洞穴裡睡覺。,A bear eats fish and berries in the forest.,熊在森林裡吃魚和莓果。
duck,鴨/鴨子,Animals,/dʌk/,3,duck,The little duck swims behind its mother in the pond.,小鴨在池塘裡跟在牠媽媽後面游泳。,The white duck made a funny sound in the water.,白鴨在水裡發出了有趣的聲音。
frog,青蛙,Animals,/frɑːɡ/,3,frog,A green frog jumped out of the clean water.,一隻綠色的青蛙從乾淨的水中跳了出來。,A green frog is sitting peacefully on a wet stone.,一隻綠色青蛙正安靜地坐在濕石頭上。
lion,獅子,Animals,/ˈlaɪ.ən/,3,li/on,The lion is known as the king of the forest.,獅子被稱為森林之王。,We saw a big lion walking slowly in the zoo.,我們看到一隻大獅子在動物園裡慢慢走動。
mice,老鼠(複數),Animals,/maɪs/,3,mice,Our cat caught three small mice last night.,我們的小貓昨晚抓到了三隻小老鼠。,The mice ran away quickly when they saw the big cat.,老鼠們看到大貓時飛快地逃跑了。
hippo,河馬,Animals,/ˈhɪp.oʊ/,3,hip/po,The hippo stays in the water to keep cool.,河馬待在水裡以保持涼爽。,The hippo opened its huge mouth to eat fruit.,河馬張開牠的大嘴巴吃水果。
horse,馬,Animals,/hɔːrs/,3,horse,The cowboy rode a fast black horse yesterday.,牛仔昨天騎著一隻跑得很快的黑馬。,The horse ran across the green field very quickly.,那匹馬非常快速地跑過綠色草地。
koala,無尾熊,Animals,/koʊˈɑː.lə/,3,koala,A cute koala is hugging the eucalyptus tree.,一隻可愛的無尾熊正抱著尤加利樹。,We watched the koala eating eucalyptus leaves in the tree.,我們看著無尾熊在樹上吃尤加利樹葉。
mouse,老鼠(單數),Animals,/maʊs/,3,mouse,The clever little mouse escaped from the cat.,聰明的小老鼠從貓咪手裡逃脫了。,A tiny mouse is eating a piece of cheese quietly.,一隻小老鼠正在安靜地吃一片起司。
panda,大貓熊/熊貓,Animals,/ˈpæn.də/,3,pan/da,The giant panda is eating fresh bamboo leaves.,大貓熊正在吃新鮮的竹葉。,The baby panda is playing with a small wood block.,熊貓寶寶正在玩一塊小木頭。
sheep,綿羊/羊,Animals,/ʃiːp/,3,sheep,A group of white sheep are grazing on the hill.,一群白羊正在山丘上吃草。,The farmer shears the wool from the sheep in summer.,農夫在夏天剪掉綿羊身上的羊毛。
snake,蛇,Animals,/sneɪk/,3,snake,Be careful! There is a long snake in the grass.,小心！草叢裡有一條長蛇。,A green snake is climbing up a tall tree.,一條綠蛇正往高樹上爬。
whale,鯨魚,Animals,/weɪl/,3,whale,The blue whale is the largest animal in the ocean.,藍鯨是海洋中最大的動物。,The huge whale made a big splash in the ocean.,巨大的鯨魚在海洋中激起了大水花。
zebra,斑馬,Animals,/ˈziː.brə/,3,ze/bra,The zebra has beautiful black and white stripes.,斑馬有美麗的黑白條紋。,We took a picture of a beautiful zebra yesterday.,我們昨天拍了一隻美麗斑馬的照片。
animal,動物,Animals,/ˈæn.ɪ.məl/,3,an/i/mal,We should protect wild animals and their forests.,我們應該保護野生動物和牠們的森林。,A dog is a very helpful animal to humans.,狗是對人類非常有幫助的動物。
monkey,猴子,Animals,/ˈmʌŋ.ki/,3,mon/key,The funny monkey is climbing the tall banana tree.,這隻有趣的猴子正在爬高高的香蕉樹。,The clever monkey is playing with a round orange.,聰明的猴子正在玩一顆圓圓的橘子。
